	minimum	maximum
DHORD3	0.020895754980485237	0.02321750553387257
NADPHQR	-0.023217505533872397	-0.020895754980485237
ORPT	-0.023217505533872546	-0.020895754980485237
OMPDC	0.020895754980485237	0.023217505533872595
UPPRT	0.0	0.2615000000000018
NTD2	0.0	0.5230000000000325
URIK1	0.0	0.5229999999999937
3NUCLE2	0.0	0.0
23CN2P2	0.0	0.0
CYTD	0.0	0.17433333333335002
PYNP2r	-0.522999999999964	0.26159156953322144
URIH	0.0	0.523000000000031
YUMPS	0.0	0.0
DURIPP	-0.000203479934648666	0.14263636363638293
NTD1	0.0	0.5230000000000681
DURIK1	0.0	0.5230000000000703
TMDS	0.00018313906644675627	0.000203487851607508
DCYTD	0.0	0.11217607946653457
NTD3	0.0	0.11217607946655289
CYTK2	-0.11217607946656954	0.0
NDPK7	-0.11217607946655178	1000.0
MCSNAH	0.0	0.0
NDP8	0.0	0.14281950270396562
NTP8	0.0	0.11221532355257198
DTMPK	0.00018313906644675627	0.5231831390706405
DTPH	0.0	0.5230000000016651
NTP9	0.0	0.5230000000041944
NTPP7	0.0	0.2615000000000155
TMDK1	0.0	0.5230000000000692
NTD5	0.0	0.5230000000000334
23CN2P3	0.0	0.0
3NUCLE3	0.0	0.0
NTD4	0.0	0.5230000000000703
PYNP1	-0.17433333333335024	0.0
CSND	0.0	0.17433333333332127
CYTDK1	0.0	0.5230000000000343
UMPK	0.02071261591403848	0.5438957549805197
NDPK2	0.02071261591403848	0.5437166029645522
CTPS2	8.428178176608877e-05	0.17447866147056953
NDPK3	-1000.0	0.5282668936367871
CYTK1	-0.17433333333409592	0.5230000000000308
NTPP4	0.0	0.2615000000000339
NTPP8	0.0	0.2615000000000163
NTP7	0.0	0.5230000000000692
NDP7	0.0	0.5230000000000344
NTP5	0.0	0.5230000000000711
CDPPH	0.0	0.5230000000000703
RNDR2	0.0	1000.0
RNTR2	-999.9999183428866	0.14280126577990118
RNDR1	0.0	1000.0
RNTR1	-999.9997748605615	0.19646460135496202
RNDR3	0.0	1000.0
RNTR3	-999.9999306211423	0.11224545832427889
RNDR4	0.0	0.14281950270279434
RNTR4	0.0	0.11221532355220894
APATT	0.0	1000.0
BTPS	0.0	0.5229999999988877
BTP	0.0	0.0
ADATT	-1000.0	0.0
HMPK1	0.0	4.430056049052031e-06
HMPK2	0.0	4.430056049052045e-06
HMPK3	0.0	4.430056049052032e-06
HMPK4	0.0	4.430056049052032e-06
PMPK	3.987050444146831e-06	4.430056049052038e-06
TYRL	0.0	0.0
HETZK	3.987050444146831e-06	4.430056049052038e-06
THMP	3.987050444146831e-06	4.430056049052038e-06
TMPPP	3.987050444146831e-06	4.430056049052038e-06
TMPPP_1	0.0	0.0
TMDPK	0.0	0.0
TMDPPK	0.0	0.0
PYDXS	3.987050444146831e-06	4.430056049052038e-06
GLYCK2	0.0	0.2615039870504542
HPYRDC	-4.430056049052179e-06	-3.987050444145823e-06
PDXPP	0.0	0.5230000000000683
PYDXNK	0.0	0.5230000000000683
PYDXOR	3.987050444146831e-06	4.43005604905204e-06
PYDXK	0.0	0.5230000000000683
PYDXPP	3.987050444146831e-06	0.5230039870504791
PDYXPT_c	0.0	0.0
PYDAMK	0.0	0.5230000000000703
HYPOE	0.0	0.523000000000035
OHPBAT	0.0	0.0
4HTHRS	0.0	0.0
DB4PS	7.974100888293662e-06	8.86011209810408e-06
RBFSa	7.974100888293662e-06	8.860112098104076e-06
RBFSb	3.987050444146831e-06	4.430056049052038e-06
ACP1_FMN	0.0	0.5230000000000681
RBFK	0.0	0.5230000000000348
FADDP	0.0	0.26150000000004026
FMNAT	0.0	0.26150000000002294
FMNRx	0.0	0.0
FMNRx2	0.0	0.0
GTPCII2	3.987050444146831e-06	4.430056049052032e-06
DHPPDA2	3.987050444146831e-06	4.430056049052038e-06
PMDPHT	3.987050444146831e-06	4.430056049052038e-06
APRAUR	3.987050444146831e-06	4.430056049052038e-06
PNP	0.0	0.0
NMNHYD	0.0	0.5230000000000681
NP1	0.0	0.0
